Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California, _Santa_Barbara",https://www.history.ucsb.edu/wp-content/uploads/La goonFall20141.jpg
Concourse Bowling Center,An affordable and safe neighbordhood bowling alley that has an arcade and bar! It is a great place to hangout with friends and family!,33.8506,-117.849499,https://www.concoursebowling.com/bowlingrates,https://images.squarespace-cdn.com/content/v1/6010a1ebbe9de7748656a7c6/1611780429645-7UCCLDLH0F0FK2ROQH3P/4+Lane+Suite-s.jpg
